# Audience Network publishers with very low impression volumes do not appear on this list. Any campaign using a block list will not deliver ads to any of these low volume publishers. To download this list of low volume publishers visit https://business.facebook.com/business/publisher-list?low_volume_publishers_only=true
Note:  Here App Store Categories column values are directly scraped from itunes/google play stores. Learn more about this file: http://facebook.com/business/help/1382467665184382
"Note:  The Minimum Age Rating column values are directly scraped from itunes/google play stores. They are the highest rating across the UK, US, DE, AU, KR and RU stores to represent the major ratings boards and agencies. Special values are: 0 = Unrated, 1 = Everyone."
URL,Audience Network - Rewarded videos,"Audience Network - Native, banner and interstitial",Content creator,Date added,App store categories,Minimum age rating
https://itunes.apple.com/us/app/id558076089,no,yes,Diyetkolik Online Diyet,2023-01-05,Health & Fitness,4
https://itunes.apple.com/us/app/id520888232,yes,no,Super Penguins,2022-09-26,Games,4
https://itunes.apple.com/us/app/id517545499,yes,no,Happy Street,2021-06-16,Games,9
http://play.google.com/store/apps/details?id=com.goibibo,no,yes,"Goibibo: Hotel, Flight Booking",2020-10-20,Travel & Local,1
http://play.google.com/store/apps/details?id=com.opera.browser.beta,no,yes,Opera browser beta with AI,2022-09-26,Communication,1
https://itunes.apple.com/us/app/id494789758,no,yes,Bible Inspirations · Daily,2022-09-26,Reference,4
http://play.google.com/store/apps/details?id=com.WhatWapp.Scopa,yes,yes,Scopa - Italian Card Game,2022-09-26,Card,15
http://play.google.com/store/apps/details?id=com.bravolang.dictionary.turkish,no,yes,Turkish English Dictionary İng,2022-09-26,Education,1
https://itunes.apple.com/us/app/id454690785,yes,no,GameTwist Online Casino Slots,2022-09-26,Games,17
http://play.google.com/store/apps/details?id=com.eznetsoft.workshipandpraise,no,yes,Worship and Praise Lyrics,2022-09-26,Lifestyle,1
https://itunes.apple.com/us/app/id505658864,no,yes,"Kaave: Tarot, Angel, Horoscope",2022-09-26,Entertainment,4
http://play.google.com/store/apps/details?id=com.intsig.camscanner,no,yes,CamScanner - PDF Scanner App,2022-09-26,Productivity,1
https://itunes.apple.com/us/app/id413817051,no,yes,Simply Yoga - Home Instructor,2022-09-26,Health & Fitness,4
https://itunes.apple.com/us/app/id543186831,yes,no,8 Ball Pool™,2022-09-26,Games,4
https://itunes.apple.com/us/app/id542613198,no,yes,BAND - App for all groups,2023-06-08,Social Networking,12
https://itunes.apple.com/us/app/id367225555,no,yes,Voce Giallorossa,2022-09-26,Sports,4
https://itunes.apple.com/us/app/id527616248,no,yes,Flight Tracker | Air Radar 24,2022-09-26,Travel,4
http://play.google.com/store/apps/details?id=com.com2us.golfstarworldtour.normal.freefull.google.global.android.common,yes,no,Golf Star™,2022-09-26,Sports,15
http://play.google.com/store/apps/details?id=com.syncme.syncmeapp,no,yes,Sync.ME: Caller ID & Contacts,2022-09-26,Communication,1
http://play.google.com/store/apps/details?id=com.droidhen.game.poker,yes,no,DH Texas Poker - Texas Hold'em,2022-09-26,Casino,18
https://itunes.apple.com/us/app/id512939461,yes,yes,Subway Surfers,2022-09-26,Games,9
https://itunes.apple.com/jp/app/id547145938,yes,no,にゃんこ大戦争,2023-07-30,Games,4
https://itunes.apple.com/nl/app/id601316585,yes,yes,4 Plaatjes 1 Woord,2022-09-26,Games,0
http://play.google.com/store/apps/details?id=com.badoo.mobile,yes,yes,Badoo: Dating. Chat. Meet.,2022-09-26,Dating,18
https://itunes.apple.com/us/app/id544933682,yes,yes,Video Poker Casino Card Games,2022-09-26,Games,17
https://itunes.apple.com/us/app/id575658129,yes,no,Injustice: Gods Among Us,2022-09-26,Games,12
http://play.google.com/store/apps/details?id=com.truecaller,no,yes,Truecaller: Caller ID & Block,2022-09-26,Communication,1
https://itunes.apple.com/us/app/id557130558,no,yes,HelloTalk - Language Learning,2022-09-26,Education,12
http://play.google.com/store/apps/details?id=air.br.com.domino.mobile,yes,yes,Dominoes Online - Classic Game,2022-09-26,Board,15
https://itunes.apple.com/us/app/id553834731,yes,no,Candy Crush Saga,2022-09-26,Games,4
http://play.google.com/store/apps/details?id=com.devexpert.weather,no,yes,Weather & Clock Widget,2022-09-26,Weather,1
http://play.google.com/store/apps/details?id=com.handmark.expressweather,no,yes,1Weather Forecasts & Radar,2022-09-26,Weather,1
http://play.google.com/store/apps/details?id=com.bravolang.dictionary.dutch,no,yes,Dutch English Dictionary,2019-05-29,Education,1
https://itunes.apple.com/us/app/id564007552,yes,no,Flutter: Butterfly Sanctuary,2022-10-25,Games,4
http://play.google.com/store/apps/details?id=com.vectorunit.red,no,yes,Riptide GP2,2023-09-27,Racing,6
http://play.google.com/store/apps/details?id=com.devuni.flashlight,no,yes,Tiny Flashlight + LED,2022-09-26,Tools,1
http://play.google.com/store/apps/details?id=com.bravolang.english,no,yes,Learn English Phrases,2017-10-07,Education,1
http://play.google.com/store/apps/details?id=com.oni.oni,no,yes,鬼から電話　子育てシーンに役立つサポートアプリ,2022-12-07,Education,1
http://play.google.com/store/apps/details?id=com.octro.rummy,yes,yes,Indian Rummy -Teen Patti Rummy,2022-09-26,Card,18
http://play.google.com/store/apps/details?id=com.gannett.local.library.news.wkyc,no,yes,Cleveland News from WKYC,2022-09-26,News & Magazines,1
https://itunes.apple.com/us/app/id361179482,no,yes,L'Interista,2022-09-26,Sports,4
http://play.google.com/store/apps/details?id=com.tumblr,no,yes,"Tumblr—Fandom, Art, Chaos",2022-09-26,Social,18
https://itunes.apple.com/us/app/id551506869,yes,yes,Coin Kingdom: 3D Pusher Slots,2022-09-26,Games,12
http://play.google.com/store/apps/details?id=com.lockwoodpublishing.avakinlife,yes,yes,Avakin Life - 3D Virtual World,2022-11-29,Simulation,13
http://play.google.com/store/apps/details?id=com.gameloft.android.ANMP.GloftDMHM,yes,yes,Minion Rush: Running Game,2022-09-26,Action,12
https://itunes.apple.com/us/app/id637999962,yes,yes,Plexiword: Word Guessing Games,2022-09-26,Games,4
http://play.google.com/store/apps/details?id=com.rutasdeautobuses.transmileniositp,no,yes,Transmilenio and Sitp,2022-09-26,Maps & Navigation,1
https://itunes.apple.com/us/app/id572395608,yes,yes,Temple Run 2,2022-09-26,Games,9
https://itunes.apple.com/us/app/id469231420,yes,no,GSN Casino: Slot Machine Games,2023-06-06,Games,17
http://play.google.com/store/apps/details?id=com.igs.mjstar31,yes,yes,麻將 明星3缺1-16張Mahjong、Slot、Poker,2022-09-26,Puzzle,15
https://itunes.apple.com/us/app/id349160522,yes,yes,Zoosk - Social Dating App,2022-09-26,Social Networking,17
https://itunes.apple.com/us/app/id456355158,yes,yes,Doodle Jump - Insanely Good!,2022-09-26,Games,4
https://itunes.apple.com/us/app/id582340397,yes,yes,Wordox - Multiplayer word game,2022-09-26,Games,4
https://itunes.apple.com/us/app/id368494609,no,yes,QR Reader for iPhone,2022-09-26,Utilities,12
https://itunes.apple.com/us/app/id639930688,yes,yes,Dumb Ways to Die,2021-10-18,Games,12
http://play.google.com/store/apps/details?id=com.taggedapp,yes,yes,"Tagged - Meet, Chat & Dating",2023-05-30,Social,18
https://itunes.apple.com/us/app/id432750508,yes,yes,Dice With Buddies: Social Game,2022-09-26,Games,9
https://itunes.apple.com/us/app/id480950048,yes,no,Dark Summoner,2023-03-06,Games,17
https://itunes.apple.com/us/app/id428312806,no,yes,Wordfeud,2022-09-26,Games,4
http://play.google.com/store/apps/details?id=com.iscoolentertainment.wordoxfree,yes,yes,Wordox – Multiplayer word game,2022-09-26,Word,1
https://itunes.apple.com/us/app/id587366035,no,yes,Picsart AI Photo Editor,2022-09-26,Photo & Video,12
http://play.google.com/store/apps/details?id=com.RenownEntertainment.BallHopAE,yes,yes,Ball Hop AE - 3D Bowling Game,2022-09-26,Casual,1
https://itunes.apple.com/us/app/id390832949,no,yes,Bubble Wars,2022-09-26,Games,4
https://itunes.apple.com/us/app/id438091943,no,yes,"AlMosaly: azkar, athan, prayer",2022-09-26,Lifestyle,4
https://itunes.apple.com/us/app/id589764621,no,yes,ChuonNathKH,2022-09-26,Education,4
https://itunes.apple.com/us/app/id305343404,no,yes,"Tumblr – Fandom, Art, Chaos",2022-09-26,Social Networking,17
https://itunes.apple.com/gb/app/id653399343,no,yes,OLX - Cumpără și vinde,2023-05-14,Shopping,4
https://itunes.apple.com/us/app/id481595833,yes,yes,Pocket Family - My Dream House,2022-09-26,Games,4
https://itunes.apple.com/us/app/id388389451,no,yes,Muslim Pro: Quran Athan Prayer,2022-09-26,Reference,4
http://play.google.com/store/apps/details?id=com.mds.risikolite,yes,yes,MDS Risik Lite,2022-09-26,Strategy,1
https://itunes.apple.com/us/app/id563718995,yes,no,Bloons TD 5,2022-09-26,Games,9
https://itunes.apple.com/us/app/id534473264,yes,yes,Real Boxing: KO Fight Club,2022-09-26,Games,12
http://play.google.com/store/apps/details?id=de.lotum.whatsinthefoto.it,yes,yes,4 Immagini 1 Parola,2022-09-26,Word,12
http://play.google.com/store/apps/details?id=com.neowiz.games.newmatgo,yes,yes,피망 뉴맞고: 고스톱 대표 맞고 게임,2023-06-26,Board,18
https://itunes.apple.com/us/app/id490980969,yes,yes,Truco Paulista and Mineiro,2022-09-26,Games,17
http://play.google.com/store/apps/details?id=de.lotum.whatsinthefoto.us,yes,yes,4 Pics 1 Word,2022-09-26,Word,15
https://itunes.apple.com/us/app/id533365777,no,yes,The Flight Tracker: Live Radar,2022-09-28,Travel,4
https://itunes.apple.com/us/app/id420391510,no,yes,Bianconera News,2022-09-26,Sports,4
http://play.google.com/store/apps/details?id=com.hbwares.wordfeud.free,no,yes,Wordfeud,2022-09-26,Word,1
https://itunes.apple.com/us/app/id372648912,yes,yes,"MeetMe - Meet, Chat & Go Live",2022-09-26,Social Networking,17
