URL,Content creator,Username,Date added,Ads in Live,Facebook Page followers,Language,Blue verification,Videos published in the last 7 days,Median views per video (28 days)
www.facebook.com/100100489568264,Leonardo franco H,,2023-09-08,yes,65583,Spanish,no,2,6661
www.facebook.com/100100495137301,阿科收车,ahkercar,2023-05-15,no,25084,Chinese,no,4,19798
www.facebook.com/100100562285079,Tribuna Softball,TribunaSoftball,2023-09-12,no,20829,Spanish,no,2,1595
www.facebook.com/100100586145928,भेरजी चोधरी,bherjiRajasthani,2023-04-16,no,9291,Hindi,no,6,298
www.facebook.com/100100591410387,Solid Gamers,SolidGamers15,2022-12-27,yes,54977,Tagalog,no,0,2367
www.facebook.com/100100641827859,Negruma,negruma2,2022-06-01,no,195906,Spanish,no,0,0
www.facebook.com/100100642772346,Cool Line,,2023-08-28,no,10808,Hindi,no,0,22
www.facebook.com/100100652430683,Rea Olarte Official,REAOLARTEOFFICIAL,2023-02-10,no,33284,Tagalog,no,14,834
www.facebook.com/100100652895065,Bunty Thorat,,2023-08-28,no,22150,English,no,0,1720
www.facebook.com/100100659556932,Katherine Tolosa,kath01.tolosa,2023-05-10,no,7023,English,no,0,0
www.facebook.com/100100669542116,Reece Mander Nutritionist,,2023-09-17,no,50972,,no,0,0
www.facebook.com/100100672935876,Lhevy Fuentes Masculino,lhevy.masculino.3,2023-06-19,no,9813,English,no,4,101
www.facebook.com/100100716263749,Munna Kumar Raj,,2023-09-01,no,72209,English,no,0,0
www.facebook.com/100100762925650,Aaron Teofilo Full,aaron.teofilo,2023-07-25,no,10195,English,no,10,90
www.facebook.com/100100796280086,Juan Oliver Fons,juan.oliverfons,2023-08-06,no,7506,Spanish,no,3,0
www.facebook.com/100100839599211,Diego Serresiete,diegosnake091,2023-09-28,no,9046,Spanish,no,0,8806
www.facebook.com/100100852819629,Shakil Mahmud OFC,Shakilmahmudofc,2022-10-20,no,13923,English,no,0,61
www.facebook.com/100100899644928,Skd Sujlanchal,sanwarmal.meghwal.3591,2023-06-05,no,13119,Hindi,no,0,220
www.facebook.com/100100939581110,Ahmed K Gouda,kemyaa,2023-09-22,no,464129,English,no,0,55437
www.facebook.com/100100981471483,ส้ม พรรณนิภา แฟนเพจ,,2023-08-28,no,10961,Thai,no,11,1525
www.facebook.com/100100995081090,المقنع F4,F4XF4,2023-04-23,yes,26408,Arabic,no,3,1109
www.facebook.com/100101016270397,Fredo HGC,OfficialWilfred,2023-09-24,no,101064,English,no,2,2444
www.facebook.com/100101019341667,Keshab Gogoi,keshabasomiyavaunasanskriti,2023-09-10,no,13969,Assamese,no,28,7647
www.facebook.com/100101029640047,Sunil Bediya,sunil.bediya.1422,2023-04-01,no,8886,English,no,0,2263
www.facebook.com/100101089551350,Diente frío y bin laden,,2023-08-02,no,24220,,no,0,0
www.facebook.com/100101124740667,Mr. Motomalz,MrMotoMalz,2022-07-04,no,52408,Tagalog,no,3,1243
www.facebook.com/100101139279893,كف وسكينه فتحي النقيب ابو انس للديكورات الحديثه بكل انواعها,Fathyelnakib,2023-04-16,no,30446,Arabic,no,1,4640
www.facebook.com/100101179691666,สมศักดิ์ คนทำข่าว ตระกูลสุข,Somsak221974,2023-09-10,no,9979,Thai,no,8,1626
www.facebook.com/100101185103027,Suzy Apolemica,SuzyApolemica,2022-09-03,yes,544,Portuguese,no,0,0
www.facebook.com/100101202148259,Go Organique Main,organiquemain,2022-06-06,no,251317,Tagalog,no,2,5
www.facebook.com/100101202992861,Gsm Sp Sobuj,spsobuj44,2023-06-05,no,6245,English,no,0,0
www.facebook.com/100101216280236,ประสิทธิ์ ทาบสถิติ,putiwats,2023-04-14,no,9138,Thai,no,0,0
www.facebook.com/100101236209219,Nitiphat Thanaphanatthana,pakaey,2023-04-27,no,87399,Thai,no,1,3941
