URL,Content creator,Username,Date added,Facebook Page followers,Language,Blue verification,Videos published in the last 7 days,Median views per video (28 days)
https://www.facebook.com/100100102887396,Merva S. Obregon Johnson,Merva S. Obregon Johnson,2023-04-12,1502,English,no,9,100
https://www.facebook.com/100100105119929,Morris Moto,MorrisMotoMx,2023-04-29,378208,Spanish,no,0,7685
https://www.facebook.com/100100106314968,Mumu Kanoksri,Mumu Kanoksri,2023-07-31,741,Chinese,no,0,68
https://www.facebook.com/100100122993113,Gianna Blackwell,Gianna Blackwell,2023-03-17,2511,English,no,0,0
https://www.facebook.com/100100136212970,Cynthia It'smytime Knuckles,Cynthia It'smytime Knuckles,2022-12-14,5503,English,no,0,200
https://www.facebook.com/100100142538474,Clean Whipz,Clean Whipz,2022-12-21,53209,,no,1,539
https://www.facebook.com/100100149636792,ตาตั้ม ชิวิตที่เหลืออยู่ใช้ให้คุ้ม,ตาตั้ม ชิวิตที่เหลืออยู่ใช้ให้คุ้ม,2023-09-26,6558,Japanese,no,20,156
https://www.facebook.com/100100151679655,Tri-Alex TV,Tri-Alex TV,2023-07-26,6781,Tagalog,no,2,55
https://www.facebook.com/100100152887285,Jackie Sotelo,Jackie Sotelo,2023-05-15,13,English,no,0,0
https://www.facebook.com/100100152912552,Marlon Guiza,Marlon Guiza,2023-08-29,293,Spanish,no,2,107
https://www.facebook.com/100100156030557,Malayshia Reid,Malayshia Reid,2023-08-01,248,English,no,0,46
https://www.facebook.com/100100162904972,Seputar Truck,Seputar Truck,2023-08-01,1135,Indonesian,no,5,220
https://www.facebook.com/100100169454365,Nicole Alford,Nicole Alford,2023-07-30,0,,no,0,0
https://www.facebook.com/100100172834063,Warfield Gary,Warfield Gary,2023-04-01,287,English,no,4,200
https://www.facebook.com/100100199469140,Finding your Feelings,Finding your Feelings,2023-03-09,4014,,no,0,0
https://www.facebook.com/100100209375168,Jesse Saflicki,Jesse Saflicki,2023-07-21,2229,English,no,4,55
https://www.facebook.com/100100209578171,Kisqo D-Packsy,Kisqo D-Packsy,2023-09-28,1436,English,no,5,104
https://www.facebook.com/100100212888169,Cassidy Breuwet,Cassidy Breuwet,2023-03-04,244,English,no,0,0
https://www.facebook.com/100100222949062,Daily Patina Beetle,Daily Patina Beetle,2023-02-15,70852,,no,0,0
https://www.facebook.com/100100252995170,عبد القادر الزجال,عبد القادر الزجال,2023-09-27,144,Arabic,no,9,187
https://www.facebook.com/100100276272999,Allan Pingal Salvaloza,,2023-06-12,23489,English,no,17,584
https://www.facebook.com/100100289682149,Wow Planet Earth,Wow Planet Earth,2023-07-21,12098,,no,0,1521
